session_id,feature,chunk_id_target,sim_p,sim_x_mean,lsim,n_x
abc,intensity_mean,abc:speaker1:2:chunk,-0.046999999999997044,-0.21300000000000807,-0.22065727699528292,1
abc,intensity_mean,abc:speaker2:1:chunk,-3.6940000000000026,-1.3155000000000072,-2.808057772709983,2
abc,intensity_mean,abc:speaker2:2:chunk,-3.5279999999999916,-1.1494999999999962,-3.069160504567206,2
abc,intensity_mean,abc:speaker3:1:chunk,-0.31799999999999784,-2.5249999999999986,-0.12594059405940516,2
abc,pitch_mean,abc:speaker1:2:chunk,-11.419000000000011,-21.875,-0.5220114285714291,1
abc,pitch_mean,abc:speaker2:1:chunk,-2.3230000000000075,-12.519999999999996,-0.185543130990416,2
abc,pitch_mean,abc:speaker2:2:chunk,-35.61700000000002,-20.774000000000015,-1.7144988928468274,2
abc,pitch_mean,abc:speaker3:1:chunk,-1.382000000000005,-22.836000000000013,-0.06051847959362429,2
abc,rate_syl,abc:speaker1:2:chunk,-0.7523971099385531,-1.426598629640861,-0.527406303571149,1
abc,rate_syl,abc:speaker2:1:chunk,-2.376225036550116,-1.8826797998566378,-1.2621503862372458,2
abc,rate_syl,abc:speaker2:2:chunk,-1.7020235168478082,-1.20847828015433,-1.4084022400720762,2
abc,rate_syl,abc:speaker3:1:chunk,-1.0091648739613612,-0.07827050029095695,-12.893297860751709,2
